Project:,jg_gelma_fibers_shear_rate,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Test:,gelma_60um_r1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Result:,Measurement 1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Interval and data points:,1,18,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status,Viscosity,Shear Rate
,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[Pa·s],[1/s]
,16,80.837,169.7,22.09,,,,,0.8,0,33.395,Dy_auto,13.645,99.7
,17,85.907,174.7,22.09,,,,,0.8,0.01,47.13,Dy_auto,12.154,158
,18,90.976,179.8,22.09,,,,,0.8,0.01,47.008,Dy_auto,7.6508,250
,,,,,,,,,,,,,,
Test:,gelma_40um_r1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Result:,Measurement 1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Interval and data points:,1,18,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status,Viscosity,Shear Rate
,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[Pa·s],[1/s]
,1,5.029,79.16,22.18,,,,,0.8,0.01,35.517,Dy_auto,14471,0.1
,2,10.054,84.18,22.18,,,,,0.8,0.01,36.395,Dy_auto,9358.8,0.158
,3,15.081,89.21,22.18,,,,,0.8,0.01,37.737,Dy_auto,6124,0.251
,4,20.116,94.25,22.18,,,,,0.8,0.01,38.857,Dy_auto,3979.1,0.398
,5,25.153,99.28,22.18,,,,,0.8,0.01,40.347,Dy_auto,2607.4,0.63
,6,30.193,104.3,22.18,,,,,0.8,0.01,42.499,Dy_auto,1733.2,0.999
,7,35.238,109.4,22.19,,,,,0.8,0.01,44.206,Dy_auto,1137.7,1.58
,8,40.287,114.4,22.19,,,,,0.8,0.02,46.49,Dy_auto,755.02,2.51
,9,45.341,119.5,22.19,,,,,0.8,0.02,46.628,Dy_auto,477.88,3.98
,10,50.401,124.5,22.19,,,,,0.8,0.03,44.659,Dy_auto,288.85,6.3
,11,55.467,129.6,22.19,,,,,0.8,0.03,41.365,Dy_auto,168.85,9.98
,12,60.536,134.7,22.19,,,,,0.8,0.02,36.97,Dy_auto,95.236,15.8
,13,65.605,139.7,22.19,,,,,0.8,0.02,33.7,Dy_auto,54.784,25.1
,14,70.674,144.8,22.2,,,,,0.8,0.02,31.879,Dy_auto,32.705,39.7
,15,75.743,149.9,22.2,,,,,0.8,0.01,33.122,Dy_auto,21.445,62.9
,16,80.812,154.9,22.2,,,,,0.8,0.01,37.581,Dy_auto,15.356,99.7
,17,85.881,160,22.2,,,,,0.8,0.01,45.616,Dy_auto,11.764,158
,18,90.95,165.1,22.2,,,,,0.8,0.04,62.968,Dy_auto,10.249,250
,,,,,,,,,,,,,,
Test:,gelma_40um_r2,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Result:,Measurement 1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Interval and data points:,1,18,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status,Viscosity,Shear Rate
,,,,,,,,,,,,,,
