Project:,jg_gelma_fibers_recovery_osc,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Test:,85um_fibers_r2,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Result:,Pre-UV recovery,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Interval and data points:,1,38,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status,Shear Stress,Shear Strain
,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[Pa],[%]
,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[Pa],[%]
,1,60.176,344.5,23.36,10809,0.54046,5E-05,1.7203E+06,0.8,0.24,2662.1,"ME-,MV-,WMa,taD,TruStrain™",1.0846E+05,1E+03
,2,60.283,344.6,23.36,3411.5,12534,3.67,2.0675E+06,0.8,-0.01,2868.3,"ME-,MV-,WMa,TruStrain™",1.1687E+05,900
,3,60.396,344.7,23.36,6930.1,8154.2,1.18,1.7032E+06,0.8,-0.01,2057.1,"MV-,WMa,TruStrain™",83813,783
,4,60.517,344.8,23.36,10642,8082.6,0.76,2.1268E+06,0.8,-0.01,2214.3,"MV-,WMa,TruStrain™",90220,675
,5,60.645,344.9,23.36,15001,10357,0.69,2.9013E+06,0.8,-0.01,2417.4,"MV-,WMa,TruStrain™",98495,540
,6,60.781,345.1,23.36,22064,13758,0.624,4.1383E+06,0.8,-0.01,2474.9,"MV-,WMa,TruStrain™",1.0084E+05,388
,7,60.927,345.2,23.36,35776,15408,0.431,6.1995E+06,0.8,-0.01,2387.9,"MV-,WMa,TruStrain™",97291,250
,8,61.081,345.4,23.36,67433,29460,0.437,1.1712E+07,0.8,-0.01,2156.4,"MV-,WMa,TruStrain™",87859,119
,9,61.246,345.5,23.36,74870,3.7435,5E-05,1.1916E+07,0.8,-0.01,2698.3,"ME-,WMa,taD,TruStrain™",1.0994E+05,147
,10,61.421,345.7,23.36,11096,0.55482,5E-05,1.7661E+06,0.8,-0.01,410.01,"ME-,MV-,WMa,taD,TruStrain™",16705,151
,11,61.607,345.9,23.36,0.79164,15833,2E+04,2.5199E+06,0.8,-0.01,482.4,"ME-,MV-,WMa,taD,TruStrain™",19655,124
,12,61.806,346.1,23.36,1.7399,34799,2E+04,5.5384E+06,0.8,-0.01,692.84,"ME-,MV-,WMa,taD,TruStrain™",28229,81.1
,13,62.017,346.3,23.36,4.3506,87013,2E+04,1.3848E+07,0.8,-0.01,689.91,"ME-,MV-,WMa,taD,TruStrain™",28109,32.3
,14,62.241,346.5,23.36,2.9137E+05,14.568,5E-05,4.6373E+07,0.8,-0.01,423.1,"ME-,MV-,WMa,taD,TruStrain™",17239,5.92
,15,62.48,346.8,23.36,2.6643E+05,13.321,5E-05,4.2403E+07,0.8,-0.01,59.755,"ME-,MV-,WMa,taD,TruStrain™",2434.6,0.914
,16,62.734,347,23.36,1.3673E+05,56891,0.416,2.357E+07,0.8,-0.01,1.7236,"ME-,MV-,WMa,TruStrain™",70.225,0.0474
,17,63.005,347.3,23.36,43145,3609.1,0.0836,6.8908E+06,0.8,-0.01,0.60854,"WMa,TruStrain™",24.794,0.0573
,18,63.293,347.6,23.36,21967,5451.5,0.248,3.6022E+06,0.8,-0.01,0.33776,"WMa,TruStrain™",13.762,0.0608
,19,63.6,347.9,23.36,18711,9166.4,0.49,3.3161E+06,0.8,-0.01,0.36239,"WMa,TruStrain™",14.765,0.0709
,20,63.926,348.2,23.36,14625,8280.2,0.566,2.6748E+06,0.8,-0.01,0.36055,"WMa,TruStrain™",14.69,0.0874
,21,64.273,348.6,23.36,14508,5644.3,0.389,2.4777E+06,0.8,-0.01,0.3959,"WMa,TruStrain™",16.13,0.104
,22,64.643,348.9,23.36,16021,2801.8,0.175,2.5885E+06,0.8,-0.01,0.44553,"WMa,TruStrain™",18.152,0.112
,23,65.036,349.3,23.36,16765,158.02,0.00943,2.6684E+06,0.8,-0.01,0.45671,"WMa,TruStrain™",18.608,0.111
,24,65.454,349.7,23.36,17011,240.2,0.0141,2.7077E+06,0.8,-0.01,0.44949,"MV-,WMa,TruStrain™",18.314,0.108
,25,65.899,350.2,23.36,16788,181.59,0.0108,2.672E+06,0.8,-0.01,0.43218,"MV-,WMa,TruStrain™",17.608,0.105
,26,66.373,350.7,23.36,16663,331.23,0.0199,2.6526E+06,0.8,-0.01,0.42095,"WMa,TruStrain™",17.151,0.103
,27,66.878,351.2,23.36,16794,600.15,0.0357,2.6745E+06,0.8,-0.01,0.42083,"WMa,TruStrain™",17.146,0.102
,28,67.414,351.7,23.36,16908,757.06,0.0448,2.6938E+06,0.8,-0.01,0.42209,"WMa,TruStrain™",17.197,0.102
,29,67.986,352.3,23.36,16792,505.21,0.0301,2.6737E+06,0.8,-0.01,0.41757,"WMa,TruStrain™",17.013,0.101
,30,68.593,352.9,23.36,16608,459.11,0.0276,2.6443E+06,0.8,-0.01,0.41189,"WMa,TruStrain™",16.782,0.101
,31,69.24,353.5,23.36,16670,712.45,0.0427,2.6556E+06,0.8,-0.01,0.41286,"WMa,TruStrain™",16.821,0.101
,32,69.929,354.2,23.36,16812,634.78,0.0378,2.6777E+06,0.8,-0.01,0.41593,"WMa,TruStrain™",16.946,0.101
,33,70.661,354.9,23.36,16690,644.17,0.0386,2.6583E+06,0.8,-0.01,0.41257,"WMa,TruStrain™",16.81,0.101
,34,71.441,355.7,23.36,16876,449.35,0.0266,2.6868E+06,0.8,-0.01,0.41667,"WMa,TruStrain™",16.976,0.101
,35,72.271,356.6,23.36,16681,637.2,0.0382,2.6568E+06,0.8,-0.01,0.41192,"WMa,TruStrain™",16.783,0.101
,36,73.154,357.4,23.36,16969,681.16,0.0401,2.7029E+06,0.8,-0.01,0.41897,"WMa,TruStrain™",17.07,0.101
,37,74.093,358.4,23.36,16911,653.14,0.0386,2.6935E+06,0.8,-0.01,0.41749,"WMa,TruStrain™",17.01,0.101
,38,75.093,359.4,23.36,16877,843.72,0.05,2.6895E+06,0.8,-0.01,0.41684,"WMa,TruStrain™",16.984,0.101
,,,,,,,,,,,,,,
Interval and data points:,6,38,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status,Shear Stress,Shear Strain
,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[Pa],[%]
,1,75.195,359.5,23.36,2.4674E+05,5.2108E+05,2.11,9.176E+07,0.8,-0.13,661.71,"WMa,taD,TruStrain™",26960,4.68
,2,75.302,359.6,23.36,3.1033E+05,15.517,5E-05,4.9391E+07,0.8,0.01,2006.7,"ME-,MV-,WMa,taD,TruStrain™",81759,26.3
,3,75.415,359.7,23.36,6.0762,1.2152E+05,2E+04,1.9341E+07,0.8,-0.01,1140.9,"ME-,MV-,WMa,taD,TruStrain™",46485,38.3
,4,75.536,359.8,23.36,16313,90694,5.56,1.4666E+07,0.8,-0.01,904.91,"MV-,WMa,TruStrain™",36869,40
,5,75.664,360,23.36,41855,83201,1.99,1.4823E+07,0.8,-0.02,1020.1,"MV-,WMa,TruStrain™",41561,44.6
,6,75.8,360.1,23.36,1.2292E+05,92074,0.749,2.4443E+07,0.8,0.01,2254.7,"MV-,WMa,TruStrain™",91865,59.8
,7,75.946,360.2,23.36,88920,1.1263E+05,1.27,2.2838E+07,0.8,0.01,4473.1,"MV-,WMa,TruStrain™",1.8225E+05,127
,8,76.1,360.4,23.36,5215.7,76091,14.6,1.2139E+07,0.8,-0.02,5299.4,"WMa,TruStrain™",2.1592E+05,283
,9,76.265,360.6,23.36,10156,48571,4.78,7.8975E+06,0.8,-0.04,6018.5,"ME-,WMa,TruStrain™",2.4521E+05,494
,10,76.44,360.7,23.36,1.9623,39245,2E+04,6.2461E+06,0.8,-0.02,7590.9,"ME-,WMa,taD,TruStrain™",3.0928E+05,788
,11,76.626,360.9,23.36,1.2485,24970,2E+04,3.9741E+06,0.8,0.01,6969.7,"ME-,WMa,taD,TruStrain™",2.8397E+05,1.14E+03
,12,76.825,361.1,23.36,0.98233,19647,2E+04,3.1268E+06,0.8,0.01,7321.5,"ME-,WMa,taD,TruStrain™",2.9831E+05,1.52E+03
,13,77.036,361.3,23.36,0.28795,5759.1,2E+04,9.1659E+05,0.8,-0.01,2635.4,"ME-,WMa,taD,TruStrain™",1.0738E+05,1.86E+03
,14,77.26,361.5,23.36,696.92,2.9197,0.00419,1.1092E+05,0.8,-0.04,337.37,"ME-,WMa,TruStrain™",13746,1.97E+03
,15,77.499,361.8,23.36,1468.5,2464.3,1.68,4.5656E+05,0.8,-0.02,1386.2,"MV-,WMa,TruStrain™",56477,1.97E+03
,16,77.753,362,23.36,1825.1,3451.6,1.89,6.214E+05,0.8,0.01,1830.9,"MV-,WMa,TruStrain™",74598,1.91E+03
,17,78.024,362.3,23.36,1303.1,3529,2.71,5.9873E+05,0.8,-0.01,1651,"MV-,WMa,TruStrain™",67266,1.79E+03
,18,78.312,362.6,23.36,318.04,2315.3,7.28,3.7195E+05,0.8,-0.03,974.93,"MV-,WMa,TruStrain™",39722,1.7E+03
,19,78.619,362.9,23.36,188.68,1728.1,9.16,2.7667E+05,0.8,0,696.18,"MV-,WMa,TruStrain™",28365,1.63E+03
,20,78.945,363.2,23.36,43.395,1510.2,34.8,2.4046E+05,0.8,0,584.11,"MV-,WMa,TruStrain™",23799,1.58E+03
,21,79.292,363.6,23.36,31.331,1443.3,46.1,2.2977E+05,0.8,-0.04,537.01,"MV-,WMa,TruStrain™",21880,1.52E+03
,22,79.662,364,23.36,43.812,1397.5,31.9,2.2253E+05,0.8,0,501.46,"MV-,WMa,TruStrain™",20431,1.46E+03
,23,80.055,364.3,23.36,39.411,1351.2,34.3,2.1513E+05,0.8,-0.01,467.84,"MV-,WMa,TruStrain™",19061,1.41E+03
,24,80.473,364.8,23.36,20.414,1305.2,63.9,2.0775E+05,0.8,-0.02,434.26,"MV-,WMa,TruStrain™",17693,1.36E+03
,25,80.918,365.2,23.36,27.201,1261.8,46.4,2.0087E+05,0.8,0,401.06,"MV-,WMa,TruStrain™",16341,1.29E+03
,26,81.392,365.7,23.36,55.485,1163.5,21,1.8539E+05,0.8,-0.03,355.34,"MV-,WMa,TruStrain™",14478,1.24E+03
,27,81.897,366.2,23.36,73.916,1022.4,13.8,1.6315E+05,0.8,0,301.8,"MV-,WMa,TruStrain™",12296,1.2E+03
,28,82.433,366.7,23.36,95.568,877.42,9.18,1.4047E+05,0.8,-0.02,250.91,"MV-,WMa,TruStrain™",10223,1.16E+03
,29,83.005,367.3,23.36,107.86,735.4,6.82,1.183E+05,0.8,-0.01,204.04,"MV-,WMa,TruStrain™",8313.4,1.12E+03
,30,83.612,367.9,23.36,97.195,579.84,5.97,93572,0.8,-0.01,156.35,"MV-,WMa,TruStrain™",6370.3,1.08E+03
,31,84.259,368.5,23.36,50.872,395.54,7.78,63471,0.8,-0.03,103.53,"MV-,WMa,TruStrain™",4218.1,1.06E+03
,32,84.948,369.2,23.36,42.942,202.32,4.71,32917,0.8,0,52.98,"MV-,WMa,TruStrain™",2158.6,1.04E+03
,33,85.68,370,23.36,58.235,122.22,2.1,21547,0.8,-0.01,34.152,"MV-,WMa,TruStrain™",1391.5,1.03E+03
,34,86.46,370.7,23.36,28.351,20.592,0.726,5576.9,0.8,-0.02,8.7431,"MV-,WMa,TruStrain™",356.23,1.02E+03
,35,87.29,371.6,23.36,31.255,56.746,1.82,10311,0.8,-0.03,16.077,"WMa,TruStrain™",655.04,1.01E+03
,36,88.173,372.5,23.36,17.579,99.232,5.65,16039,0.8,-0.02,24.929,"WMa,TruStrain™",1015.7,1.01E+03
,37,89.112,373.4,23.36,14.812,120.4,8.13,19307,0.8,-0.01,29.953,"WMa,TruStrain™",1220.4,1.01E+03
,38,90.112,374.4,23.36,13.705,133.05,9.71,21288,0.8,-0.01,33.004,"WMa,TruStrain™",1344.7,1.01E+03
,,,,,,,,,,,,,,
Interval and data points:,7,38,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status,Shear Stress,Shear Strain
,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[Pa],[%]
,1,90.215,374.5,23.36,20995,1.0497,5E-05,3.3414E+06,0.8,0.24,5136.9,"ME-,MV-,WMa,taD,TruStrain™",2.093E+05,997
,2,90.322,374.6,23.36,2187.3,20566,9.4,3.2917E+06,0.8,0.02,4628.7,"ME-,MV-,WMa,TruStrain™",1.8859E+05,912
,3,90.435,374.7,23.36,8096.6,8495.1,1.05,1.8678E+06,0.8,-0.01,2334.2,"MV-,WMa,TruStrain™",95105,810
,4,90.556,374.8,23.36,13543,7641.5,0.564,2.4749E+06,0.8,-0.01,2613.6,"MV-,WMa,TruStrain™",1.0649E+05,685
,5,90.684,375,23.36,17922,9604.9,0.536,3.2361E+06,0.8,-0.01,2760.8,"MV-,WMa,TruStrain™",1.1249E+05,553
,6,90.82,375.1,23.36,25403,12459,0.49,4.5032E+06,0.8,-0.01,2752.1,"MV-,WMa,TruStrain™",1.1213E+05,396
,7,90.966,375.3,23.36,48382,13106,0.271,7.9778E+06,0.8,-0.01,2601.4,"MV-,WMa,TruStrain™",1.0599E+05,211
,8,91.12,375.4,23.36,95087,40872,0.43,1.6472E+07,0.8,-0.01,2456.2,"MV-,WMa,TruStrain™",1.0007E+05,96.7
,9,91.285,375.6,23.36,1.4561E+05,7.2803,5E-05,2.3174E+07,0.8,-0.01,4917,"ME-,MV-,WMa,taD,TruStrain™",2.0034E+05,138
,10,91.46,375.7,23.36,0.58686,11737,2E+04,1.868E+06,0.8,-0.01,436.86,"ME-,WMa,TruStrain™",17799,152
,11,91.646,375.9,23.36,1.229,24579,2E+04,3.9119E+06,0.8,-0.01,728.6,"ME-,WMa,taD,TruStrain™",29686,121
,12,91.845,376.1,23.36,2.8667,57334,2E+04,9.125E+06,0.8,-0.01,1022,"ME-,WMa,taD,TruStrain™",41640,72.6
,13,92.056,376.3,23.36,7.382,1.4764E+05,2E+04,2.3498E+07,0.8,-0.01,1254.9,"ME-,WMa,taD,TruStrain™",51127,34.6
,14,92.28,376.6,23.36,18.2,3.6399E+05,2E+04,5.7931E+07,0.8,-0.01,1362.9,"ME-,WMa,taD,TruStrain™",55528,15.3
,15,92.519,376.8,23.36,1.2711E+06,63.555,5E-05,2.023E+08,0.8,-0.01,795,"ME-,WMa,taD,TruStrain™",32391,2.55
,16,92.773,377.1,23.36,505.25,1.0105E+07,2E+04,1.6082E+09,0.8,-0.01,65.024,"ME-,MV-,WMa,TruStrain™",2649.3,0.0262
,17,93.044,377.3,23.36,1.1609E+05,31146,0.268,1.9129E+07,0.8,-0.01,1.5914,"MV-,WMa,TruStrain™",64.838,0.0539
,18,93.332,377.6,23.36,16006,6890.8,0.431,2.7734E+06,0.8,-0.01,0.25643,"MV-,WMa,TruStrain™",10.448,0.06
,19,93.639,377.9,23.36,11583,16028,1.38,3.1473E+06,0.8,-0.01,0.33979,"WMa,TruStrain™",13.844,0.07
,20,93.965,378.3,23.36,11605,13882,1.2,2.8797E+06,0.8,-0.01,0.39653,"WMa,TruStrain™",16.156,0.0893
,21,94.312,378.6,23.36,15709,6810.3,0.434,2.7251E+06,0.8,-0.01,0.4453,"WMa,TruStrain™",18.143,0.106
,22,94.682,379,23.36,16319,2035.7,0.125,2.6173E+06,0.8,-0.01,0.46444,"WMa,TruStrain™",18.923,0.115
,23,95.075,379.4,23.36,16103,1050.2,0.0652,2.5683E+06,0.8,-0.01,0.4517,"MV-,WMa,TruStrain™",18.404,0.114
,24,95.493,379.8,23.36,16573,899.24,0.0543,2.6416E+06,0.8,-0.01,0.44702,"MV-,WMa,TruStrain™",18.213,0.11
,25,95.938,380.2,23.36,17035,63.071,0.0037,2.7113E+06,0.8,-0.01,0.44478,"MV-,WMa,TruStrain™",18.122,0.106
,26,96.412,380.7,23.36,17123,25.526,0.00149,2.7252E+06,0.8,-0.01,0.43641,"WMa,TruStrain™",17.781,0.104
,27,96.917,381.2,23.36,17035,333.72,0.0196,2.7117E+06,0.8,-0.01,0.42928,"WMa,TruStrain™",17.49,0.103
,28,97.453,381.7,23.36,17285,517.35,0.0299,2.7522E+06,0.8,-0.01,0.43335,"WMa,TruStrain™",17.656,0.102
,29,98.025,382.3,23.36,17498,646.12,0.0369,2.7869E+06,0.8,-0.01,0.43694,"WMa,TruStrain™",17.802,0.102
,30,98.632,382.9,23.36,17170,634.41,0.0369,2.7345E+06,0.8,-0.01,0.42707,"WMa,TruStrain™",17.4,0.101
,31,99.279,383.6,23.36,17104,618.66,0.0362,2.7239E+06,0.8,-0.01,0.42438,"WMa,TruStrain™",17.291,0.101
,32,99.968,384.3,23.36,17120,643.62,0.0376,2.7266E+06,0.8,-0.01,0.42417,"WMa,TruStrain™",17.282,0.101
,33,100.7,385,23.36,16982,675.31,0.0398,2.7049E+06,0.8,-0.01,0.42006,"WMa,TruStrain™",17.115,0.101
,34,101.48,385.8,23.36,17194,563.63,0.0328,2.7379E+06,0.8,-0.01,0.42477,"WMa,TruStrain™",17.307,0.101
,35,102.31,386.6,23.36,17182,809.18,0.0471,2.7377E+06,0.8,-0.01,0.42451,"WMa,TruStrain™",17.296,0.101
,36,103.193,387.5,23.36,17143,767.33,0.0448,2.7312E+06,0.8,-0.01,0.42339,"WMa,TruStrain™",17.25,0.101
,37,104.132,388.4,23.36,17012,842.57,0.0495,2.7109E+06,0.8,-0.01,0.42018,"WMa,TruStrain™",17.119,0.101
,38,105.132,389.4,23.36,17092,703.13,0.0411,2.7225E+06,0.8,-0.01,0.42195,"WMa,TruStrain™",17.192,0.101
,,,,,,,,,,,,,,
Test:,85um_fibers_r3,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Result:,Pre-UV recovery,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Interval and data points:,1,38,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status,Shear Stress,Shear Strain
,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[Pa],[%]
,1,0.1,13.78,23.37,3.727E+06,1.0038E+07,2.69,1.7042E+09,0.8,0.01,2.3096,"WMa,TruStrain™",94.103,0.000879
,2,0.207,13.89,23.37,4.4405E+05,2.4066E+06,5.42,3.8948E+08,0.8,0.01,6.4766,"WMa,TruStrain™",263.88,0.0108
,3,0.32,14,23.37,6.6432E+05,1.8355E+06,2.76,3.1068E+08,0.8,0.01,9.0482,"WMa,TruStrain™",368.66,0.0189
,4,0.441,14.12,23.38,9.3888E+05,1.3528E+06,1.44,2.6208E+08,0.8,0.01,11.902,"WMa,TruStrain™",484.94,0.0294
,5,0.569,14.25,23.38,1.0568E+06,8.0885E+05,0.765,2.118E+08,0.8,0.01,13.568,"WMa,TruStrain™",552.79,0.0415
,6,0.705,14.39,23.38,8.833E+05,3.1562E+05,0.357,1.4929E+08,0.8,0.01,13.259,"WMa,TruStrain™",540.22,0.0576
,7,0.851,14.53,23.38,6.1024E+05,1.0222E+05,0.168,9.8475E+07,0.8,0.01,11.466,"WMa,TruStrain™",467.19,0.0755
,8,1.005,14.68,23.38,4.2071E+05,70222,0.167,6.7884E+07,0.8,0.01,9.6717,"WMa,TruStrain™",394.06,0.0924
,9,1.17,14.85,23.38,2.7575E+05,78463,0.285,4.5629E+07,0.8,0.01,7.6017,"MV-,WMa,TruStrain™",309.72,0.108
,10,1.345,15.03,23.38,1.0312E+05,2.2201E+05,2.15,3.8959E+07,0.8,0.01,6.5881,"MV-,WMa,TruStrain™",268.42,0.11
,11,1.531,15.21,23.38,11.499,2.2999E+05,2E+04,3.6603E+07,0.8,0.01,6.2691,"ME-,MV-,WMa,taD,TruStrain™",255.43,0.111
,12,1.73,15.41,23.38,1.8563E+05,9.2815,5E-05,2.9544E+07,0.8,0.01,5.0238,"ME-,MV-,WMa,taD,TruStrain™",204.69,0.11
,13,1.941,15.62,23.38,1.1189E+05,5.5947,5E-05,1.7809E+07,0.8,0.01,2.9124,"ME-,MV-,WMa,taD,TruStrain™",118.66,0.106
,14,2.165,15.85,23.38,1.0869,21738,2E+04,3.4597E+06,0.8,0.01,0.53832,"ME-,WMa,taD,TruStrain™",21.933,0.101
,15,2.404,16.08,23.38,10861,126.17,0.0116,1.7287E+06,0.8,0.01,0.26664,"MV-,WMa,TruStrain™",10.864,0.1
,16,2.658,16.34,23.38,13896,454.28,0.0327,2.2128E+06,0.8,0.01,0.34125,"MV-,WMa,TruStrain™",13.904,0.1
,17,2.929,16.61,23.38,12915,817.09,0.0633,2.0597E+06,0.8,0.01,0.31764,"MV-,WMa,TruStrain™",12.942,0.1
,18,3.217,16.9,23.38,10796,2276.3,0.211,1.7561E+06,0.8,0.01,0.27087,"WMa,TruStrain™",11.036,0.1
,19,3.524,17.2,23.38,10559,3425.6,0.324,1.7667E+06,0.8,0.01,0.27263,"WMa,TruStrain™",11.108,0.1
,20,3.85,17.53,23.38,12131,1726.5,0.142,1.9502E+06,0.8,0.01,0.30115,"WMa,TruStrain™",12.27,0.1
,21,4.197,17.88,23.38,13442,704.44,0.0524,2.1423E+06,0.8,0.01,0.3311,"WMa,TruStrain™",13.49,0.1
,22,4.567,18.25,23.38,13066,433.38,0.0332,2.0806E+06,0.8,0.01,0.32182,"WMa,TruStrain™",13.112,0.1
,23,4.96,18.64,23.38,13338,1609.4,0.121,2.1383E+06,0.8,0.01,0.33094,"WMa,TruStrain™",13.484,0.1
,24,5.378,19.06,23.38,13254,865.22,0.0653,2.1139E+06,0.8,0.01,0.32733,"WMa,TruStrain™",13.337,0.1
,25,5.823,19.5,23.38,12687,624.31,0.0492,2.0217E+06,0.8,0.01,0.31316,"WMa,TruStrain™",12.759,0.1
,26,6.297,19.98,23.38,13121,664.8,0.0507,2.0909E+06,0.8,0.01,0.32392,"WMa,TruStrain™",13.198,0.1
,27,6.802,20.48,23.38,13437,702.93,0.0523,2.1414E+06,0.8,0.01,0.33178,"WMa,TruStrain™",13.518,0.1
,28,7.338,21.02,23.38,13650,884.88,0.0648,2.1771E+06,0.8,0.01,0.33733,"WMa,TruStrain™",13.744,0.1
,29,7.91,21.59,23.38,13413,725.29,0.0541,2.1379E+06,0.8,0.01,0.33129,"WMa,TruStrain™",13.498,0.1
,30,8.517,22.2,23.38,13470,691.73,0.0514,2.1467E+06,0.8,0.01,0.33267,"WMa,TruStrain™",13.554,0.1
,31,9.164,22.84,23.38,12878,780.69,0.0606,2.0534E+06,0.8,0.01,0.31824,"WMa,TruStrain™",12.966,0.1
,32,9.853,23.53,23.38,13617,603.02,0.0443,2.1693E+06,0.8,0.01,0.33621,"WMa,TruStrain™",13.698,0.101
,33,10.585,24.27,23.37,13706,1210.6,0.0883,2.1899E+06,0.8,0.01,0.33941,"WMa,TruStrain™",13.829,0.101
,34,11.365,25.05,23.38,13200,1121.7,0.085,2.1085E+06,0.8,0.01,0.32678,"WMa,TruStrain™",13.314,0.101
,35,12.195,25.88,23.38,13531,704.13,0.052,2.1564E+06,0.8,0.01,0.3342,"WMa,TruStrain™",13.617,0.1
,36,13.078,26.76,23.38,13740,231.23,0.0168,2.1871E+06,0.8,0.01,0.339,"WMa,TruStrain™",13.812,0.101
,37,14.017,27.7,23.37,13909,606.34,0.0436,2.2159E+06,0.8,0.01,0.34346,"WMa,TruStrain™",13.994,0.101
,38,15.017,28.7,23.38,13969,790.42,0.0566,2.2269E+06,0.8,0.01,0.34513,"WMa,TruStrain™",14.062,0.101
,,,,,,,,,,,,,,
Interval and data points:,2,38,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status,Shear Stress,Shear Strain
,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[Pa],[%]
,1,15.119,28.8,23.38,1.1523E+07,1.7576E+06,0.153,1.8552E+09,0.8,-0.07,1706.8,"WMa,TruStrain™",69541,0.597
,2,15.226,28.91,23.38,3.1929E+05,15.964,5E-05,5.0816E+07,0.8,-0.01,3190.4,"ME-,WMa,taD,TruStrain™",1.2999E+05,40.7
,3,15.339,29.02,23.38,1.1224E+05,5.612,5E-05,1.7864E+07,0.8,0,1646.6,"ME-,MV-,WMa,taD,TruStrain™",67088,59.8
,4,15.46,29.14,23.37,93731,4.6865,5E-05,1.4918E+07,0.8,0,1412.1,"ME-,MV-,WMa,taD,TruStrain™",57535,61.4
,5,15.588,29.27,23.37,69779,3.489,5E-05,1.1106E+07,0.8,0,1106.8,"ME-,MV-,WMa,taD,TruStrain™",45093,64.6
,6,15.724,29.4,23.37,77257,1.1625E+05,1.5,2.2215E+07,0.8,0.02,2939.9,"ME-,MV-,WMa,TruStrain™",1.1978E+05,85.8
,7,15.87,29.55,23.37,45405,87251,1.92,1.5654E+07,0.8,0.02,4512,"MV-,WMa,TruStrain™",1.8383E+05,187
,8,16.024,29.7,23.37,2134.9,46739,21.9,7.4465E+06,0.8,0.01,4535.7,"WMa,TruStrain™",1.848E+05,395
,9,16.189,29.87,23.37,12315,24930,2.02,4.4254E+06,0.8,0,3993.3,"ME-,WMa,TruStrain™",1.627E+05,585
,10,16.364,30.04,23.37,1.6553,33106,2E+04,5.269E+06,0.8,-0.01,7653.1,"ME-,WMa,taD,TruStrain™",3.1182E+05,942
,11,16.55,30.23,23.37,1.1426,22851,2E+04,3.6369E+06,0.8,0.01,7351.9,"ME-,WMa,taD,TruStrain™",2.9954E+05,1.31E+03
,12,16.749,30.43,23.37,0.87533,17507,2E+04,2.7863E+06,0.8,0.03,7013.8,"ME-,WMa,taD,TruStrain™",2.8577E+05,1.63E+03
,13,16.96,30.64,23.38,0.20165,4033,2E+04,6.4188E+05,0.8,0.02,1796.9,"ME-,WMa,taD,TruStrain™",73211,1.82E+03
,14,17.184,30.86,23.38,0.016012,320.25,2E+04,50969,0.8,0,149.39,"ME-,WMa,taD,TruStrain™",6086.7,1.9E+03
,15,17.423,31.1,23.37,353.14,2264.2,6.41,3.6472E+05,0.8,-0.01,1037.5,"MV-,WMa,TruStrain™",42270,1.84E+03
,16,17.677,31.36,23.38,192.52,2612.8,13.6,4.1697E+05,0.8,0.02,1136.3,"MV-,WMa,TruStrain™",46296,1.77E+03
,17,17.948,31.63,23.38,323.82,2484,7.67,3.9869E+05,0.8,0.02,1027.7,"MV-,WMa,TruStrain™",41874,1.67E+03
,18,18.236,31.92,23.37,176.55,2018.5,11.4,3.2248E+05,0.8,0,788.98,"MV-,WMa,TruStrain™",32146,1.59E+03
,19,18.543,32.22,23.38,100.4,1538.6,15.3,2.454E+05,0.8,0.01,579.19,"MV-,WMa,TruStrain™",23598,1.53E+03
,20,18.869,32.55,23.37,31.683,1365,43.1,2.1731E+05,0.8,0.02,494.55,"MV-,WMa,TruStrain™",20150,1.48E+03
,21,19.216,32.9,23.38,28.986,1270.6,43.8,2.0228E+05,0.8,0,444.86,"MV-,WMa,TruStrain™",18125,1.43E+03
,22,19.586,33.27,23.38,43.34,1202.5,27.7,1.915E+05,0.8,0.01,407.14,"MV-,WMa,TruStrain™",16588,1.38E+03
